No.,Time,Source,Destination,Protocol,Length,Info
241,44.026403,32,22,0,56,196
243,44.540076,14,22,0,56,191
244,44.844914,28,22,0,56,204
245,45.001859,7,8,5,240,118
246,45.040945,9,6,5,126,118
247,45.045459,7,8,4,60,18
248,45.235815,9,16,4,55,65
249,45.238236,19,8,4,66,0
250,45.562152,29,22,0,56,154
251,45.871114,43,22,0,56,172
252,45.871114,28,22,0,56,115
253,46.893435,13,22,0,56,185
254,47.713052,13,22,0,56,185
255,48.839861,32,22,0,56,206
256,49.04406,0,11,1,342,131
257,49.04406,49,22,0,56,116
258,49.04406,49,22,0,56,183
259,50.169939,49,22,0,56,183
260,50.27278,49,22,0,56,152
261,50.478114,49,22,0,56,116
262,50.522792,9,21,4,55,225
263,50.527498,26,8,4,66,218
264,50.635192,9,4,4,55,230
265,50.639661,5,8,4,66,223
266,50.788203,49,22,0,56,183
267,50.827589,9,2,4,55,226
268,50.830636,3,8,4,66,219
269,50.99031,47,22,0,56,166
270,51.015514,43,22,0,56,172
271,51.596536,9,19,5,111,118
272,51.644862,22,8,5,100,118
273,51.691822,9,19,4,54,68
274,51.991247,7,8,5,332,118
275,51.997096,9,6,5,126,118
276,52.001315,7,8,4,60,13
277,52.023074,31,22,0,64,140
278,52.023074,0,11,1,342,134
279,52.023074,31,22,0,56,113
280,52.13012,31,22,0,56,175
281,52.935811,49,22,0,56,210
282,53.038674,38,22,0,56,184
283,53.141386,31,22,0,56,175
284,53.242732,29,22,0,56,205
285,53.654004,49,22,0,56,162
286,54.430607,9,14,5,293,118
287,54.434762,17,8,4,60,11
288,54.473095,29,22,0,56,205
289,54.473095,30,22,0,56,187
290,54.676514,17,8,5,314,118
291,54.724113,9,14,4,54,78
292,55.125585,9,17,5,111,118
293,55.127913,20,8,4,60,2
294,55.188494,29,22,0,56,205
295,55.230121,20,8,5,100,118
296,55.276308,9,17,4,54,66
297,56.213766,50,22,0,56,197
298,57.440664,24,22,0,56,174
299,57.646994,50,22,0,56,199
300,57.852266,49,22,0,56,164
301,58.569584,49,22,0,56,193
302,58.772034,49,22,0,56,164
303,60.42361,9,6,5,123,118
304,60.430651,7,8,4,60,14
305,60.644849,7,8,5,125,118
306,60.695611,9,6,4,54,82
307,61.080668,9,7,2,70,149
308,61.080904,9,7,2,70,148
309,61.082522,8,8,2,102,151
310,61.082522,8,8,2,146,150
311,61.083195,9,21,4,66,106
312,61.087892,26,8,4,66,55
313,61.087981,9,21,4,54,103
315,61.10309,26,8,4,60,48
316,61.10309,26,8,4,60,49
317,61.135593,35,22,0,56,212
319,61.188679,9,21,4,54,104
320,61.191723,26,8,6,101,118
321,61.192112,9,21,6,128,123
322,61.192427,9,21,6,146,118
323,61.1927,9,21,6,297,118
324,61.192755,9,21,6,244,118
325,61.196498,26,8,4,60,50
326,61.196498,26,8,4,60,51
327,61.196498,26,8,4,60,52
328,61.196498,26,8,4,60,53
329,61.19948,26,8,6,1004,119
330,61.199733,9,21,6,85,118
332,61.203587,26,8,6,94,119
333,61.203645,9,21,4,54,105
334,61.204697,9,21,6,93,118
335,61.20512,9,5,4,66,110
336,61.211262,6,8,4,66,64
337,61.21139,9,5,4,54,107
339,61.215067,6,8,4,60,56
340,61.215067,6,8,4,60,57
343,61.220551,6,8,4,1514,60
345,61.220551,6,8,5,183,146
346,61.220648,9,5,4,54,108
347,61.230427,9,5,5,212,128
348,61.230836,9,5,5,153,118
349,61.23126,9,5,5,447,118
350,61.233895,6,8,4,60,62
351,61.245409,6,8,5,396,145
352,61.245409,26,8,4,60,54
353,61.300459,9,5,4,54,109
354,61.310492,6,8,5,686,121
355,61.311104,9,5,5,92,118
356,61.347398,6,8,4,60,63
357,61.743069,35,22,0,56,188
358,62.049289,35,22,0,56,212
360,63.074852,0,11,1,352,135
361,63.074852,35,22,0,56,212
362,63.27877,39,22,0,56,186
363,63.27877,13,22,0,56,185
364,66.146173,35,22,0,56,117
365,66.332483,9,15,5,104,118
366,66.358308,18,8,5,93,118
367,66.4101,9,15,4,54,69
368,67.165445,9,20,5,104,118
369,67.186136,23,8,4,60,4
370,67.290964,23,8,5,93,118
371,67.339115,9,20,4,54,71
372,68.291821,9,4,4,55,229
373,68.446013,5,8,4,66,222
374,68.851935,9,13,4,55,227
375,68.867585,16,8,4,66,220
376,69.203379,9,12,4,55,228
377,69.207963,15,8,4,66,221
378,70.13941,33,22,0,56,173
379,70.13941,33,22,0,56,173
380,70.431508,9,14,5,294,118
381,70.511872,17,8,4,60,7
383,70.742261,17,8,5,315,118
384,70.791918,9,14,4,54,74
385,70.855844,44,22,0,56,215
386,72.288894,51,22,0,56,190
387,73.415685,28,22,0,56,181
388,73.825931,31,22,0,56,156
389,74.331591,9,9,4,55,224
390,74.347618,10,8,4,66,217
391,74.751307,31,22,0,56,156
392,75.497492,12,8,4,60,35
393,75.497653,9,10,4,54,91
394,75.498143,9,10,4,54,92
395,75.523346,12,8,4,60,34
398,75.577873,49,22,0,56,116
399,75.668566,49,22,0,56,183
400,75.671045,31,22,0,56,156
401,76.283829,49,22,0,56,152
402,76.590457,49,22,0,56,183
